Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,62.81,109.12,2.38,42.34,35.98,13.46,7.52,1.23,18.56,0.89,1.62,NA,NA,0.14,0.44,NA,87.47,1.21,207.47,NA,NA,80.35,1009.00,-0.44
2024-01-01 01:00:00,65.04,112.85,2.81,21.58,19.74,19.14,5.84,1.46,15.97,1.05,2.01,NA,NA,0.17,0.52,NA,98.55,0.50,195.60,NA,NA,80.70,1008.65,-0.47
2024-01-01 02:00:00,69.24,119.84,6.83,18.90,18.66,27.37,6.29,1.61,11.80,1.20,2.34,NA,NA,0.20,0.57,NA,98.59,0.50,120.77,NA,NA,78.40,1008.35,-0.46
2024-01-01 03:00:00,78.28,134.91,1.00,25.02,20.97,22.60,6.01,1.53,12.68,1.60,2.73,NA,NA,0.21,0.60,NA,98.60,0.34,172.59,NA,NA,78.30,1008.18,-0.47
2024-01-01 04:00:00,79.56,137.04,1.78,26.84,23.84,20.06,7.12,1.41,10.66,1.70,2.73,NA,NA,0.20,0.55,NA,98.60,1.15,227.21,NA,NA,81.62,1008.25,-0.45
2024-01-01 05:00:00,72.72,125.64,0.72,14.71,7.40,15.44,6.49,1.42,11.70,1.95,2.71,NA,NA,0.20,0.50,NA,98.60,1.07,219.31,NA,NA,85.85,1008.68,-0.45
2024-01-01 06:00:00,78.46,135.21,1.46,16.71,6.18,4.73,7.23,1.41,11.95,2.24,2.78,NA,NA,0.20,0.51,NA,98.60,1.60,220.87,NA,NA,86.20,1009.15,-0.42
2024-01-01 07:00:00,83.93,144.32,6.52,21.31,19.65,19.51,6.11,1.36,16.08,2.35,2.94,NA,NA,0.19,0.50,NA,98.57,1.78,218.15,NA,NA,99.85,1009.70,-0.40
2024-01-01 08:00:00,79.24,136.50,2.75,19.08,11.62,12.22,6.78,0.25,24.31,2.12,3.59,NA,NA,0.18,0.51,NA,98.52,1.79,218.88,NA,NA,97.98,1010.18,-0.40
2024-01-01 09:00:00,71.19,123.08,6.69,19.86,15.42,16.47,6.10,0.98,31.42,1.68,3.84,NA,NA,0.15,0.44,NA,97.25,2.22,216.47,NA,NA,114.22,1010.45,-0.37
