Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,23.33,51.17,7.34,16.75,24.08,48.49,20.67,0.81,40.15,0.45,1.46,NA,NA,0.23,0.52,NA,98.55,2.14,250.05,NA,NA,7.30,NA,-0.36
2022-01-01 01:00:00,19.30,48.93,7.91,15.59,23.50,46.49,20.45,0.76,40.64,0.41,1.39,NA,NA,0.20,0.44,NA,98.55,2.01,250.04,NA,NA,7.15,NA,-0.37
2022-01-01 02:00:00,18.76,38.82,8.96,15.24,24.19,55.85,20.17,0.77,43.39,0.38,1.29,NA,NA,0.18,0.39,NA,98.53,2.29,251.39,NA,NA,7.22,NA,-0.35
2022-01-01 03:00:00,21.30,35.47,6.20,16.67,22.87,42.34,20.24,0.77,41.52,0.36,1.15,NA,NA,0.16,0.34,NA,98.50,2.22,252.36,NA,NA,7.05,NA,-0.36
2022-01-01 04:00:00,21.83,39.85,7.90,15.70,23.60,48.99,19.83,0.81,40.60,0.35,1.08,NA,NA,0.16,0.32,NA,98.50,2.36,248.82,NA,NA,6.85,NA,-0.34
2022-01-01 05:00:00,19.51,38.90,9.07,16.00,25.07,56.30,19.44,0.66,42.21,0.36,1.05,NA,NA,0.15,0.30,NA,98.49,2.46,249.05,NA,NA,6.80,NA,-0.34
2022-01-01 06:00:00,15.24,39.20,7.99,15.46,23.45,48.32,19.44,0.69,34.81,0.35,1.05,NA,NA,0.14,0.29,NA,98.49,2.46,251.98,NA,NA,26.35,NA,-0.34
2022-01-01 07:00:00,17.15,36.31,7.79,16.10,23.90,46.01,19.13,0.80,23.18,0.37,1.18,NA,NA,0.15,0.30,NA,98.54,2.10,250.06,NA,NA,243.40,NA,-0.36
2022-01-01 08:00:00,25.82,39.28,7.82,16.05,23.86,47.93,19.02,0.53,34.70,0.41,1.19,NA,NA,0.16,0.37,NA,96.89,2.55,248.96,NA,NA,431.55,NA,-0.33
2022-01-01 09:00:00,24.04,39.02,6.30,16.04,22.34,39.19,18.71,0.68,44.22,0.39,1.01,NA,NA,0.14,0.34,NA,96.67,2.80,249.09,NA,NA,456.52,NA,-0.32
2022-01-01 10:00:00,23.63,40.17,8.40,15.94,24.34,50.60,18.70,0.67,45.90,0.41,0.95,NA,NA,0.14,0.36,NA,94.33,3.04,247.59,NA,NA,501.35,NA,-0.30
2022-01-01 11:00:00,20.21,35.24,8.26,15.56,23.82,52.76,18.45,0.68,50.47,0.42,1.00,NA,NA,0.15,0.39,NA,94.56,3.17,249.47,NA,NA,490.02,NA,-0.29
2022-01-01 12:00:00,18.95,35.59,7.56,15.66,23.22,48.09,18.20,0.51,51.43,0.42,0.97,NA,NA,0.15,0.36,NA,95.21,3.10,245.81,NA,NA,305.92,NA,-0.29
2022-01-01 13:00:00,18.44,42.20,5.43,16.50,20.97,36.32,18.16,0.59,NA,0.49,1.17,NA,NA,0.18,0.52,NA,93.36,3.42,245.33,NA,NA,469.00,NA,-0.27
2022-01-01 14:00:00,13.51,37.80,8.10,16.20,24.29,52.04,17.86,0.65,34.05,0.46,0.99,NA,NA,0.17,0.45,NA,91.19,3.26,253.68,NA,NA,446.52,NA,-0.28
2022-01-01 15:00:00,13.66,34.19,7.87,15.71,23.58,48.71,17.83,0.51,41.39,0.48,0.84,NA,NA,0.13,0.30,NA,92.82,2.81,250.90,NA,NA,291.82,NA,-0.31
2022-01-01 16:00:00,16.12,35.64,7.00,16.18,23.18,47.17,17.35,0.42,37.46,0.39,1.25,NA,NA,0.12,0.28,NA,97.94,2.22,250.57,NA,NA,104.80,NA,-0.36
2022-01-01 17:00:00,14.71,34.26,8.12,16.49,24.61,52.42,16.81,0.42,40.53,0.37,1.11,NA,NA,0.12,0.31,NA,98.10,2.13,250.43,NA,NA,33.02,NA,-0.36
2022-01-01 18:00:00,13.00,29.30,7.42,15.93,23.35,48.20,16.61,0.47,35.84,0.39,1.59,NA,NA,0.18,0.61,NA,97.84,2.00,252.33,NA,NA,7.72,NA,-0.37
2022-01-01 19:00:00,10.25,31.06,6.68,16.26,22.94,41.80,16.92,0.65,38.41,0.37,1.44,NA,NA,0.18,0.54,NA,98.47,2.05,251.34,NA,NA,7.50,NA,-0.36
2022-01-01 20:00:00,13.30,33.28,7.12,16.99,24.11,47.43,16.14,0.57,34.52,0.35,1.27,NA,NA,0.17,0.47,NA,98.44,1.82,251.38,NA,NA,7.25,NA,-0.38
2022-01-01 21:00:00,14.11,30.62,7.92,15.95,23.87,51.05,16.34,0.49,30.62,0.44,1.18,NA,NA,0.17,0.44,NA,98.45,1.82,249.88,NA,NA,7.32,NA,-0.38
2022-01-01 22:00:00,19.40,37.66,7.21,16.08,23.30,48.62,17.23,0.50,36.84,0.38,1.10,NA,NA,0.16,0.39,NA,98.47,1.95,249.11,NA,NA,7.22,NA,-0.38
