Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,35.10,68.99,5.07,50.43,55.49,101.78,NA,1.55,6.46,0.00,0.00,NA,NA,NA,NA,NA,89.94,2.31,100.49,NA,NA,14.03,761.55,-0.44
2022-01-01 01:00:00,30.10,61.31,3.92,47.35,51.26,82.11,NA,1.40,6.47,0.00,0.00,NA,NA,NA,NA,NA,91.43,2.17,91.62,NA,NA,14.54,761.03,-0.44
2022-01-01 02:00:00,31.42,63.34,3.44,43.26,46.70,92.16,NA,1.34,6.35,0.00,0.00,NA,NA,NA,NA,NA,89.12,2.28,103.66,NA,NA,14.30,760.46,-0.44
2022-01-01 03:00:00,29.09,59.76,3.23,40.54,43.78,99.07,41.83,0.84,7.90,0.00,0.00,NA,NA,NA,NA,NA,86.76,2.81,100.03,NA,NA,15.60,760.20,-0.40
2022-01-01 04:00:00,24.64,52.91,3.22,39.03,42.25,95.56,30.48,0.84,12.71,0.00,0.00,NA,NA,NA,NA,NA,86.04,2.65,100.57,NA,NA,16.48,760.31,-0.42
2022-01-01 05:00:00,25.94,54.91,3.81,39.01,42.82,106.76,30.46,0.84,12.24,0.00,0.00,NA,NA,NA,NA,NA,86.97,3.02,97.33,NA,NA,17.45,760.61,-0.40
2022-01-01 06:00:00,23.20,50.69,4.11,43.06,47.18,103.42,30.76,1.31,14.43,0.00,0.00,NA,NA,NA,NA,NA,86.76,2.85,95.69,NA,NA,17.28,761.12,-0.40
2022-01-01 07:00:00,19.98,45.74,3.33,40.46,43.78,96.69,30.92,1.65,16.30,0.00,0.00,NA,NA,NA,NA,NA,89.32,3.19,90.08,NA,NA,26.67,761.96,-0.38
2022-01-01 08:00:00,21.16,47.56,4.44,41.00,45.44,100.66,30.70,1.73,16.26,0.00,0.00,NA,NA,NA,NA,NA,86.21,3.06,91.73,NA,NA,35.66,762.45,-0.39
2022-01-01 09:00:00,25.04,53.52,3.27,37.62,40.89,99.36,30.62,3.01,21.90,0.00,0.00,NA,NA,NA,NA,NA,77.99,4.03,97.62,NA,NA,45.23,762.51,-0.32
2022-01-01 10:00:00,24.59,52.82,3.19,34.40,37.60,100.90,30.36,3.12,25.46,0.00,0.00,NA,NA,NA,NA,NA,76.76,4.23,95.90,NA,NA,54.51,762.26,-0.31
2022-01-01 11:00:00,23.83,51.66,3.20,34.49,37.69,92.04,30.32,3.13,26.28,0.00,0.00,NA,NA,NA,NA,NA,76.64,4.03,98.76,NA,NA,52.55,762.00,-0.33
2022-01-01 12:00:00,25.34,53.98,3.22,36.21,39.44,90.39,30.12,3.38,24.75,0.00,0.00,NA,NA,NA,NA,NA,83.62,3.44,93.25,NA,NA,32.56,761.40,-0.36
2022-01-01 13:00:00,28.15,58.32,3.25,35.11,38.36,89.45,29.98,3.27,29.02,0.00,0.00,NA,NA,NA,NA,NA,83.42,4.46,93.71,NA,NA,71.94,760.67,-0.30
2022-01-01 14:00:00,27.34,57.06,3.22,35.36,38.57,94.67,29.94,3.35,27.53,0.00,0.00,NA,NA,NA,NA,NA,77.36,4.18,100.90,NA,NA,59.09,759.81,-0.31
