datetime,PM2_5,PM10,NOx,CO,SO2,Ozone,NOx_SubIndex,SO2_SubIndex,AQI_calculated,PM2_5_24_avg,CO_8_avg_avg,PM2_5_24_avg_Sub_Index,CO_8_avg_Sub_Index,AQI_Bucket,station
2021-01-01,29.154074074074074,107.92,23.13722962962963,600.7407407407408,13.931851851851853,14.475185185185184,28.88888888888889,17.333333333333332,59.81481481481482,35.65467978261837,595.0925925925926,59.48148148148148,29.77777777777778,Satisfactory,alandur
2021-01-02,32.602222222222224,107.92,29.065844444444444,641.6666666666666,13.424722222222222,11.404444444444444,36.291666666666664,16.666666666666668,54.333333333333336,32.14527777777778,639.0798611111111,53.56944444444444,31.77777777777778,Satisfactory,alandur
2021-01-03,27.673472222222223,107.92,25.272161111111114,650.5555555555555,13.155833333333334,8.880833333333333,31.569444444444443,16.34722222222222,51.31944444444444,29.433148148148145,639.7222222222222,48.97222222222222,31.875,Satisfactory,alandur
2021-01-04,30.532500000000002,107.92,26.625238888888887,737.2222222222222,13.926666666666668,10.314583333333333,33.263888888888886,17.319444444444443,54.986111111111114,30.421417824074076,723.90625,50.69444444444444,36.25,Satisfactory,alandur
2021-01-05,16.650972222222222,107.92,47.63580555555555,702.0833333333334,13.788333333333334,5.71,57.166666666666664,17.13888888888889,65.55555555555556,22.64025462962963,731.4409722222222,37.77777777777778,36.611111111111114,Satisfactory,alandur
2021-01-06,21.191666666666666,107.92,34.48050555555555,845.6944444444445,13.23375,7.450694444444443,42.90277777777778,16.40277777777778,54.888888888888886,17.999716435185185,788.59375,29.958333333333332,39.416666666666664,Satisfactory,alandur
2021-01-07,24.68847222222222,107.92,39.5317,784.0277777777778,13.46861111111111,7.352222222222222,49.388888888888886,16.819444444444443,62.22222222222222,22.792482638888888,808.3854166666666,37.986111111111114,40.44444444444444,Satisfactory,alandur
2021-01-08,42.11944444444444,107.92,33.1115,869.4444444444445,13.179444444444444,7.410972222222223,41.125,16.375,57.833333333333336,27.01376736111111,852.9340277777778,44.986111111111114,42.68055555555556,Good,alandur
2021-01-09,66.16000000000001,107.92,30.879,701.6666666666666,12.097222222222221,8.159166666666668,38.55555555555556,15.055555555555555,135.79166666666666,67.11783564814816,713.8020833333334,135.79166666666666,35.75,Satisfactory,alandur
2021-01-10,68.91930555555555,107.92,28.522994444444446,733.4722222222222,12.227916666666665,9.152361111111112,35.625,15.277777777777779,134.59722222222223,63.44520833333334,758.59375,134.44444444444446,38.041666666666664,Satisfactory,alandur
2021-01-11,47.39111111111111,107.92,27.129705555555557,753.4722222222222,11.35763888888889,9.969027777777777,33.833333333333336,14.166666666666666,116.13888888888889,59.647413194444454,744.4791666666666,116.13888888888889,37.208333333333336,Satisfactory,alandur
