2025-04-01 01:57:07,845 - __main__ - INFO - Data written for Velachery Res. Area: ['82', 'Velachery Res. Area, Chennai, Chennai, India', Timestamp('2025-04-01 07:00:00')]
2025-04-01 01:57:08,822 - __main__ - INFO - Data written for Alandur Bus Depot: ['40', 'Alandur Bus Depot, Chennai, Chennai, India', Timestamp('2025-04-01 07:00:00')]
2025-04-01 01:57:09,499 - __main__ - INFO - Data written for Manali Village: ['161', 'Manali Village, Chennai, Chennai, India', Timestamp('2025-04-01 07:00:00')]
2025-04-01 03:16:00,870 - __main__ - INFO - Data written for Velachery Res. Area: ['80', 'Velachery Res. Area, Chennai, Chennai, India', Timestamp('2025-04-01 08:00:00')]
2025-04-01 03:16:01,530 - __main__ - INFO - Data written for Alandur Bus Depot: ['39', 'Alandur Bus Depot, Chennai, Chennai, India', Timestamp('2025-04-01 08:00:00')]
2025-04-01 03:16:02,216 - __main__ - INFO - Data written for Manali Village: ['160', 'Manali Village, Chennai, Chennai, India', Timestamp('2025-04-01 08:00:00')]
2025-04-01 04:28:05,914 - __main__ - INFO - Data written for Velachery Res. Area: ['96', 'Velachery Res. Area, Chennai, Chennai, India', Timestamp('2025-04-01 09:00:00')]
2025-04-01 04:28:06,585 - __main__ - INFO - Data written for Alandur Bus Depot: ['40', 'Alandur Bus Depot, Chennai, Chennai, India', Timestamp('2025-04-01 09:00:00')]
2025-04-01 04:28:07,065 - __main__ - INFO - Data written for Manali Village: ['115', 'Manali Village, Chennai, Chennai, India', Timestamp('2025-04-01 09:00:00')]
2025-04-01 04:28:07,085 - __main__ - INFO - No AQI data available for 2025-03-31
2025-04-01 04:28:12,543 - __main__ - INFO - Model retrained, MAPE: 33.87799263034799%
2025-04-01 04:28:18,865 - __main__ - INFO - Forecast written to /home/runner/work/ChennaiAir/ChennaiAir/static/data/forecast_alandur_daily_aqi.csv
2025-04-01 05:23:07,235 - __main__ - INFO - Data written for Velachery Res. Area: ['85', 'Velachery Res. Area, Chennai, Chennai, India', Timestamp('2025-04-01 10:00:00')]
2025-04-01 05:23:07,834 - __main__ - INFO - Data written for Alandur Bus Depot: ['33', 'Alandur Bus Depot, Chennai, Chennai, India', Timestamp('2025-04-01 10:00:00')]
2025-04-01 05:23:08,419 - __main__ - INFO - Data written for Manali Village: ['57', 'Manali Village, Chennai, Chennai, India', Timestamp('2025-04-01 10:00:00')]
2025-04-01 06:34:03,942 - __main__ - INFO - Data written for Velachery Res. Area: ['104', 'Velachery Res. Area, Chennai, Chennai, India', Timestamp('2025-04-01 11:00:00')]
2025-04-01 06:34:05,035 - __main__ - INFO - Data written for Alandur Bus Depot: ['46', 'Alandur Bus Depot, Chennai, Chennai, India', Timestamp('2025-04-01 11:00:00')]
2025-04-01 06:34:05,881 - __main__ - INFO - Data written for Manali Village: ['38', 'Manali Village, Chennai, Chennai, India', Timestamp('2025-04-01 11:00:00')]
2025-04-01 07:23:43,367 - __main__ - INFO - Data written for Velachery Res. Area: ['130', 'Velachery Res. Area, Chennai, Chennai, India', Timestamp('2025-04-01 12:00:00')]
2025-04-01 07:23:43,841 - __main__ - INFO - Data written for Alandur Bus Depot: ['50', 'Alandur Bus Depot, Chennai, Chennai, India', Timestamp('2025-04-01 12:00:00')]
2025-04-01 07:23:44,290 - __main__ - INFO - Data written for Manali Village: ['32', 'Manali Village, Chennai, Chennai, India', Timestamp('2025-04-01 12:00:00')]
2025-04-01 08:30:43,930 - __main__ - INFO - Data written for Velachery Res. Area: ['120', 'Velachery Res. Area, Chennai, Chennai, India', Timestamp('2025-04-01 13:00:00')]
2025-04-01 08:30:44,582 - __main__ - INFO - Data written for Alandur Bus Depot: ['50', 'Alandur Bus Depot, Chennai, Chennai, India', Timestamp('2025-04-01 13:00:00')]
2025-04-01 08:30:45,241 - __main__ - INFO - Data written for Manali Village: ['54', 'Manali Village, Chennai, Chennai, India', Timestamp('2025-04-01 13:00:00')]
2025-04-01 09:25:47,038 - __main__ - INFO - Data written for Velachery Res. Area: ['116', 'Velachery Res. Area, Chennai, Chennai, India', Timestamp('2025-04-01 14:00:00')]
2025-04-01 09:25:47,692 - __main__ - INFO - Data written for Alandur Bus Depot: ['47', 'Alandur Bus Depot, Chennai, Chennai, India', Timestamp('2025-04-01 14:00:00')]
2025-04-01 09:25:48,349 - __main__ - INFO - Data written for Manali Village: ['69', 'Manali Village, Chennai, Chennai, India', Timestamp('2025-04-01 14:00:00')]
2025-04-01 10:25:30,118 - __main__ - INFO - Data written for Velachery Res. Area: ['116', 'Velachery Res. Area, Chennai, Chennai, India', Timestamp('2025-04-01 15:00:00')]
2025-04-01 10:25:31,082 - __main__ - INFO - Data written for Alandur Bus Depot: ['49', 'Alandur Bus Depot, Chennai, Chennai, India', Timestamp('2025-04-01 15:00:00')]
2025-04-01 10:25:32,027 - __main__ - INFO - Data written for Manali Village: ['74', 'Manali Village, Chennai, Chennai, India', Timestamp('2025-04-01 15:00:00')]
2025-04-01 11:20:14,326 - __main__ - INFO - Data written for Velachery Res. Area: ['122', 'Velachery Res. Area, Chennai, Chennai, India', Timestamp('2025-04-01 16:00:00')]
2025-04-01 11:20:14,873 - __main__ - INFO - Data written for Alandur Bus Depot: ['45', 'Alandur Bus Depot, Chennai, Chennai, India', Timestamp('2025-04-01 16:00:00')]
2025-04-01 11:20:15,323 - __main__ - INFO - Data written for Manali Village: ['76', 'Manali Village, Chennai, Chennai, India', Timestamp('2025-04-01 16:00:00')]
