Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NH3 (µg/m³),SO2 (µg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2),VWS (m/s),station,hour,day,month,year,Wind Impact,NOx (µg/m³),CO (µg/m³),BP (hPa),PM2.5_SubIndex,PM10_SubIndex,CO_SubIndex,Ozone_SubIndex,SO2_SubIndex,NOx_SubIndex,Checks,AQI
2022-10-19,32.05416666666667,48.227916666666665,8.842916666666667,20.447916666666668,7.3725,2.15125,4.23625,0.17541666666666667,0.7933333333333333,0.15,0.2816666666666667,0.16958333333333334,82.49208333333333,1.2645833333333334,162.33291666666668,44.69708333333333,-0.4970833333333333,,11.5,19.0,10.0,2022.0,187.68837083333335,55.06754999999999,931.6666666666666,1337.2202155083335,53.423611111111114,48.227916666666665,46.583333333333336,4.23625,2.6890625,68.23236666666666,6.0,80.06760972222222
2022-10-20,25.107083333333335,39.817083333333336,7.02375,15.195416666666667,6.88625,2.533333333333333,4.1575,0.19375,0.6920833333333333,0.15,0.27291666666666664,0.18083333333333332,88.05416666666667,1.44625,136.43708333333333,41.24,-0.49333333333333335,,11.5,20.0,10.0,2022.0,187.19750416666668,41.772816666666664,912.9166666666666,1337.9434873583334,41.84513888888889,39.817083333333336,45.645833333333336,4.1575,3.1666666666666665,52.180637499999996,6.0,61.289075
2022-10-21,20.807083333333335,33.94708333333333,8.757916666666667,17.653333333333332,6.716666666666666,19.997083333333332,3.73,0.18208333333333335,0.6825,0.15,0.23625,0.21583333333333332,85.42916666666667,1.4170833333333333,130.125,54.92458333333334,-0.49374999999999997,,11.5,21.0,10.0,2022.0,181.11860000000001,49.652366666666666,943.75,1339.5572390666666,34.67847222222222,33.94708333333333,47.1875,3.73,24.996354166666666,61.304629166666665,6.0,66.65035833333333
2022-10-22,48.245000000000005,65.91458333333334,5.7995833333333335,20.86375,7.172083333333333,13.113750000000001,6.6762500000000005,0.18416666666666667,0.6920833333333333,0.15,0.29041666666666666,0.21375,86.29333333333334,1.4016666666666666,134.10166666666666,61.49791666666667,-0.4908333333333333,,11.5,22.0,10.0,2022.0,185.77355416666668,50.12863333333333,893.75,1339.6122343916668,80.74444444444444,65.91458333333334,44.6875,6.67625,16.392187500000002,62.36025,6.0,85.90445138888889
2022-10-23,71.86416666666666,101.97125,7.983333333333333,35.36333333333334,17.631666666666668,11.30375,7.885833333333333,0.18999999999999997,0.6333333333333333,0.15,0.23583333333333334,0.1679166666666667,69.96416666666666,1.4208333333333334,241.23375,54.089166666666664,-0.49041666666666667,,11.5,23.0,10.0,2022.0,328.57094166666667,81.49643333333334,962.9166666666666,1337.8840479666667,132.75924145299146,94.59895833333333,48.145833333333336,7.885833333333333,14.129687500000001,96.31029166666667,6.0,140.72424978632478
2022-10-24,231.39583333333334,273.99875,33.295833333333334,44.22958333333333,14.202083333333334,38.54,12.502083333333333,0.18291666666666664,0.6975000000000001,0.15,0.22416666666666665,0.18291666666666664,61.696666666666665,1.2370833333333333,242.0275,50.91958333333333,-0.49416666666666664,,11.5,24.0,10.0,2022.0,288.49223750000004,145.75248333333332,1285.0,1338.061255125,321.2521367521368,255.41645833333334,64.25,12.502083333333333,42.78881944444444,158.8518,6.0,332.4546980769231
2022-10-25,113.70541666666666,153.91666666666666,14.532916666666665,27.376666666666665,12.63125,34.89875,15.896666666666667,0.15166666666666667,0.49291666666666667,0.15,0.32916666666666666,0.17500000000000002,59.11666666666667,1.2954166666666667,159.38708333333332,44.788333333333334,-0.49583333333333335,,11.5,25.0,10.0,2022.0,186.7620916666667,78.78845,850.4166666666666,1343.2524805,154.02264957264956,149.3123263888889,42.520833333333336,15.896666666666667,43.6234375,91.22765138888889,6.0,186.66612329059828
2022-10-26,30.629166666666666,63.64833333333333,6.479166666666667,30.2175,12.450833333333334,20.38083333333333,11.636666666666668,0.0,0.0,0.15,0.3,0.16,62.22875,1.4225,134.27666666666667,39.51083333333333,-0.4975,,11.5,26.0,10.0,2022.0,180.61264583333335,68.98738333333334,912.9166666666666,1345.4584040916668,51.048611111111114,63.64833333333333,45.645833333333336,11.636666666666665,25.476041666666664,83.35069166666666,6.0,91.8070111111111
2022-10-27,22.293333333333333,57.50416666666666,7.828749999999999,32.24791666666667,13.855833333333335,20.405833333333334,6.149583333333333,0.0,0.0,0.15,0.3,0.16,84.6375,1.4412500000000001,182.40791666666667,33.04833333333333,-0.49499999999999994,,11.5,27.0,10.0,2022.0,263.05089583333336,75.33943333333333,913.75,1344.7362432583334,37.15555555555556,57.50416666666666,45.6875,6.149583333333333,25.507291666666664,92.60400416666666,6.0,93.424525
2022-10-28,16.2925,37.78958333333333,8.650416666666667,12.755416666666667,9.292083333333332,20.485833333333336,9.22,0.0,0.0,0.15,0.3,0.16,78.13375,1.3504166666666666,101.51208333333334,43.83375,-0.49124999999999996,,11.5,28.0,10.0,2022.0,136.69705416666667,40.24296666666667,849.1666666666666,1343.51579145,27.15416666666667,37.78958333333333,42.458333333333336,9.22,25.60729166666667,49.16708333333333,6.0,58.11420833333333
2022-10-29,16.64625,46.23333333333333,3.4379166666666667,18.73125,10.176666666666668,20.40625,8.921249999999999,0.0,0.0,0.15,0.3,0.16,78.73041666666667,1.4349999999999998,116.6925,36.5775,-0.49,,11.5,29.0,10.0,2022.0,158.75297916666668,41.6749,817.9166666666666,1343.35580505,27.743750000000002,46.23333333333333,40.895833333333336,8.921249999999999,25.5078125,51.82199583333334,6.0,59.510579166666666
2022-10-30,25.542916666666667,52.321666666666665,5.37875,18.65458333333333,12.885833333333332,20.467083333333335,12.457916666666668,0.0,0.0,0.15,0.3,0.16,73.97875,1.4395833333333332,80.65375,56.24041666666667,-0.4879166666666666,,11.5,30.0,10.0,2022.0,119.818675,45.181099999999994,850.8333333333334,1343.6668897166667,42.57152777777778,52.321666666666665,42.541666666666664,12.457916666666668,25.58385416666667,56.00610833333332,6.0,63.952962500000005
