Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NH3 (µg/m³),SO2 (µg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2),VWS (m/s),station,hour,day,month,year,Wind Impact,NOx (µg/m³),CO (µg/m³),BP (hPa),PM2.5_SubIndex,PM10_SubIndex,CO_SubIndex,Ozone_SubIndex,SO2_SubIndex,NOx_SubIndex,Checks,AQI
2021-02-13,37.569583333333334,88.2,12.721666666666666,8.3425,48.54333333333333,7.094166666666666,8.18,2.42375,1.2,0.5304166666666666,0.66,0.22,71.05416666666666,0.9229166666666666,289.3333333333333,24.708333333333332,-0.5,,11.5,13.0,2.0,2021.0,275.8613541666667,41.076433333333334,824.5833333333334,1328.8959231333333,62.925694444444446,88.2,41.229166666666664,8.18,8.867708333333333,51.34554166666666,6.0,90.39861111111111
2021-02-14,35.67958333333333,88.2,13.031666666666666,8.547916666666667,48.992916666666666,6.917916666666667,8.18,3.1062499999999997,1.2,0.7379166666666667,0.66,0.22,71.15291666666667,0.80625,292.1920833333333,37.778333333333336,-0.5,,11.5,14.0,2.0,2021.0,242.19638750000001,42.05481666666667,899.5833333333334,1328.2515334666666,60.18680555555556,88.2,44.979166666666664,8.18,8.647395833333333,52.56852083333333,6.0,91.40277777777779
2021-02-15,34.17791666666667,88.2,12.985416666666666,8.726666666666667,48.59583333333333,7.509166666666666,8.18,4.378333333333333,1.2,1.1520833333333333,0.66,0.22,75.36333333333333,0.7625000000000001,261.53375,24.83583333333333,-0.5,,11.5,15.0,2.0,2021.0,215.18940416666666,41.78456666666667,1044.5833333333333,1329.3342192083335,59.08472222222222,88.2,52.229166666666664,8.18,9.386458333333334,52.23070833333333,6.0,93.4263888888889
2021-02-16,50.124583333333334,88.2,12.3375,8.501666666666667,47.8675,15.264166666666668,8.18,2.8575,1.2,1.1858333333333333,0.66,0.22,72.80208333333333,0.66125,257.825,41.12083333333334,-0.5,,11.5,16.0,2.0,2021.0,178.4517708333333,40.19518333333333,1142.0833333333333,1327.6626946333333,86.65277777777777,88.2,57.104166666666664,8.18,19.080208333333335,50.24397916666666,6.0,98.20069444444444
2021-02-17,33.94708333333333,88.2,13.01,8.15,48.87,11.8775,8.18,3.5712499999999996,1.2,0.7741666666666668,0.66,0.22,67.82000000000001,0.7870833333333334,271.1191666666667,23.422916666666666,-0.5,,11.5,17.0,2.0,2021.0,226.1304375,41.2848,692.5,1330.8840874583334,56.59722222222222,88.2,34.625,8.18,14.846874999999999,51.605999999999995,6.0,88.72916666666667
2021-02-18,45.7175,88.2,8.51375,9.416666666666666,42.911249999999995,75.155,8.18,4.192083333333334,1.2,0.6062500000000001,0.66,0.22,62.89625,1.2708333333333333,321.6379166666666,29.594583333333333,-0.5,,11.5,18.0,2.0,2021.0,407.26630833333337,34.398516666666666,723.75,1331.420153,81.35763888888889,88.2,36.1875,8.18,77.58888888888889,42.99814583333333,6.0,113.19673611111112
2021-02-19,36.38375,88.2,5.916250000000001,11.899166666666666,44.54708333333334,22.295833333333334,8.18,3.97125,1.2,0.5004166666666666,0.66,0.22,78.54833333333333,1.46375,306.96,26.313333333333333,-0.5,,11.5,19.0,2.0,2021.0,452.89819166666666,34.304516666666665,870.0,1331.554586016667,68.09246794871795,88.2,43.5,8.18,27.097118055555555,42.88064583333334,6.0,106.25052350427352
2021-02-20,22.324583333333333,88.2,6.993333333333333,13.17375,50.21041666666667,11.157916666666667,8.18,5.77,1.2,0.8000000000000002,0.66,0.22,82.11208333333333,2.2345833333333336,297.20416666666665,24.631249999999998,-0.5,,11.5,20.0,2.0,2021.0,671.7045166666667,39.41968333333333,1134.1666666666667,1328.3481919166668,37.20763888888889,88.2,56.708333333333336,8.18,12.944409722222224,49.27460416666667,6.0,89.05638888888889
2021-02-21,15.091666666666667,88.2,6.878333333333333,13.15625,50.715,57.305,8.18,5.77,1.2,0.8000000000000002,0.66,0.22,78.09541666666667,1.7141666666666666,318.04291666666666,17.097083333333334,-0.5,,11.5,21.0,2.0,2021.0,545.7150416666667,39.169016666666664,1040.4166666666667,1332.7561505416666,25.152777777777775,88.2,52.020833333333336,8.18,57.28541666666666,48.96127083333334,6.0,98.33333333333333
2021-02-22,31.152083333333334,88.2,6.979166666666667,13.051666666666668,50.18208333333333,19.50916666666667,8.18,5.77,1.2,0.8000000000000002,0.66,0.22,78.60875,1.38375,304.68041666666664,36.589999999999996,-0.5,,11.5,22.0,2.0,2021.0,426.3083583333334,39.151,1018.75,1330.8957531333333,51.920138888888886,88.2,50.9375,8.18,23.573298611111113,48.93875,6.0,88.98736111111111
2021-02-23,34.06333333333333,88.2,6.677499999999999,12.993333333333332,49.66791666666666,24.908749999999998,8.18,5.77,1.2,0.8000000000000002,0.66,0.22,78.39041666666667,1.1354166666666667,288.86791666666664,39.82375,-0.5,,11.5,23.0,2.0,2021.0,342.82132083333335,38.474199999999996,829.5833333333334,1329.4880950166669,56.77222222222222,88.2,41.479166666666664,8.18,30.731840277777778,48.092749999999995,6.0,89.22194444444445
2021-02-24,41.28916666666667,88.2,6.891249999999999,13.147916666666667,50.15083333333333,36.39333333333333,8.18,5.77,1.2,0.8000000000000002,0.66,0.22,72.25625000000001,0.6358333333333334,254.91125,41.839166666666664,-0.5,,11.5,24.0,2.0,2021.0,164.33396666666667,39.178416666666664,437.0833333333333,1330.5946676166668,69.3,88.2,21.854166666666668,8.18,44.89659722222222,48.97302083333333,6.0,91.48444444444443
2021-02-25,42.579166666666666,88.2,6.81375,13.084166666666667,49.739583333333336,21.955833333333334,8.18,5.77,1.2,0.8000000000000002,0.66,0.22,72.85958333333333,0.6229166666666667,152.80249999999998,44.369166666666665,-0.5,,11.5,25.0,2.0,2021.0,93.3992625,38.52276666666666,590.0,1330.8090938333332,71.84791666666666,88.2,29.5,8.18,26.314999999999998,48.15345833333333,6.0,92.94555555555557
2021-02-26,41.11125,88.2,6.748333333333334,13.066666666666668,49.92208333333334,13.559166666666668,8.18,5.77,1.2,0.8000000000000002,0.66,0.22,77.03750000000001,0.7254166666666667,91.59375,45.50208333333333,-0.5,,11.5,26.0,2.0,2021.0,63.177487500000005,38.7562,579.5833333333334,1331.2146149166667,68.69791666666667,88.2,28.979166666666668,8.18,16.948958333333334,48.445249999999994,6.0,89.64097222222222
2021-02-27,42.40333333333333,88.2,6.685416666666666,13.089166666666666,49.55875,14.612499999999999,8.18,5.77,1.2,0.8000000000000002,0.66,0.22,78.64625,0.80875,98.84125,51.28541666666666,-0.5,,11.5,27.0,2.0,2021.0,75.02972916666667,38.64888333333334,405.4166666666667,1331.7406813083333,74.55833333333334,88.2,20.270833333333332,8.18,18.265625,48.31110416666667,6.0,98.00347222222223
2021-02-28,18.91375,88.2,6.595833333333334,12.842083333333333,48.67791666666667,6.707916666666667,8.18,5.77,1.2,0.8000000000000002,0.66,0.22,79.79166666666667,0.6775000000000001,86.66958333333334,47.54458333333333,-0.5,,11.5,28.0,2.0,2021.0,51.041987500000005,37.574933333333334,604.1666666666666,1331.9689952333335,31.522916666666664,88.2,30.208333333333332,8.18,8.384895833333333,46.96866666666667,6.0,88.2
2021-03-01,24.319166666666664,88.2,6.5929166666666665,12.942916666666667,48.939166666666665,3.5895833333333336,8.18,5.77,1.2,0.8000000000000002,0.66,0.22,76.5975,0.7558333333333334,92.82291666666667,48.263749999999995,-0.5,,11.5,1.0,3.0,2021.0,62.05374166666667,37.95641666666666,482.5,1331.0440738583334,40.53194444444444,88.2,24.125,8.18,4.486979166666667,47.445520833333326,6.0,88.2
2021-03-02,29.71166666666667,88.2,6.692083333333334,13.227916666666667,49.99333333333333,5.0975,8.18,5.77,1.2,0.8000000000000002,0.66,0.22,73.62791666666668,0.6229166666666667,102.58791666666667,45.60791666666666,-0.5,,11.5,2.0,3.0,2021.0,55.965020833333334,38.95673333333333,572.5,1330.8213150166669,49.519444444444446,88.2,28.625,8.18,6.371875,48.69591666666667,6.0,88.2
2021-03-03,36.41916666666666,88.2,6.808333333333334,13.174999999999999,50.13041666666667,12.49,8.18,5.77,1.2,0.8000000000000002,0.66,0.22,69.69666666666667,0.6670833333333334,105.49958333333332,47.98875,-0.5,,11.5,3.0,3.0,2021.0,60.667033333333336,39.07423333333333,474.1666666666667,1331.8623376333333,60.69861111111111,88.2,23.708333333333332,8.18,15.612499999999999,48.84279166666666,6.0,88.2
2021-03-04,36.208333333333336,88.2,6.905833333333334,13.106666666666667,50.184583333333336,3.265416666666667,8.18,5.77,1.2,0.8000000000000002,0.66,0.22,68.14041666666667,0.6958333333333333,190.2975,51.88083333333333,-0.5,,11.5,4.0,3.0,2021.0,124.98435416666666,39.12436666666667,457.0833333333333,1329.3175539583333,65.2267094017094,88.2,22.854166666666668,8.18,4.081770833333334,48.905458333333335,6.0,99.40170940170941
