AQI,station,datetime
40,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-30 21:00:00
39,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-30 22:00:00
38,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-30 23:00:00
36,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-31 00:00:00
38,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-31 01:00:00
39,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-31 02:00:00
38,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-31 03:00:00
45,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-31 07:00:00
45,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-31 08:00:00
41,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-31 09:00:00
38,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-31 10:00:00
38,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-31 11:00:00
37,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-31 12:00:00
39,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-31 13:00:00
39,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-31 14:00:00
38,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-31 15:00:00
45,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-31 16:00:00
31,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-31 18:00:00
