AQI,station,datetime
60,"Manali Village, Chennai, Chennai, India",2025-03-31 10:00:00
31,"Manali Village, Chennai, Chennai, India",2025-03-31 11:00:00
27,"Manali Village, Chennai, Chennai, India",2025-03-31 12:00:00
54,"Manali Village, Chennai, Chennai, India",2025-03-31 13:00:00
68,"Manali Village, Chennai, Chennai, India",2025-03-31 14:00:00
79,"Manali Village, Chennai, Chennai, India",2025-03-31 15:00:00
70,"Manali Village, Chennai, Chennai, India",2025-03-31 16:00:00
74,"Manali Village, Chennai, Chennai, India",2025-03-31 18:00:00
76,"Manali Village, Chennai, Chennai, India",2025-03-31 18:00:00
87,"Manali Village, Chennai, Chennai, India",2025-03-31 19:00:00
102,"Manali Village, Chennai, Chennai, India",2025-03-31 20:00:00
115,"Manali Village, Chennai, Chennai, India",2025-03-31 21:00:00
106,"Manali Village, Chennai, Chennai, India",2025-03-31 22:00:00
105,"Manali Village, Chennai, Chennai, India",2025-03-31 23:00:00
103,"Manali Village, Chennai, Chennai, India",2025-04-01 00:00:00
100,"Manali Village, Chennai, Chennai, India",2025-04-01 01:00:00
104,"Manali Village, Chennai, Chennai, India",2025-04-01 02:00:00
103,"Manali Village, Chennai, Chennai, India",2025-04-01 03:00:00
103,"Manali Village, Chennai, Chennai, India",2025-04-01 04:00:00
161,"Manali Village, Chennai, Chennai, India",2025-04-01 07:00:00
160,"Manali Village, Chennai, Chennai, India",2025-04-01 08:00:00
115,"Manali Village, Chennai, Chennai, India",2025-04-01 09:00:00
57,"Manali Village, Chennai, Chennai, India",2025-04-01 10:00:00
38,"Manali Village, Chennai, Chennai, India",2025-04-01 11:00:00
32,"Manali Village, Chennai, Chennai, India",2025-04-01 12:00:00
54,"Manali Village, Chennai, Chennai, India",2025-04-01 13:00:00
69,"Manali Village, Chennai, Chennai, India",2025-04-01 14:00:00
74,"Manali Village, Chennai, Chennai, India",2025-04-01 15:00:00
76,"Manali Village, Chennai, Chennai, India",2025-04-01 16:00:00
79,"Manali Village, Chennai, Chennai, India",2025-04-01 17:00:00
65,"Manali Village, Chennai, Chennai, India",2025-04-01 18:00:00
